Sr. No.,State,Hon'ble Members of Parliaments,Constituency,Allocated AMOUNT ( ₹ ),dataset,row_number,quality_issues,Work,Work ID,IDA,Hon'ble Members of Parliament,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ ),Calamity Type,Calamity Name,Date of Consent,Consent Amount ( ₹ ),Work Category,Work Description,Image,Completion Date,Amount Disbursed ( ₹ ),Work category,Work description,Recommended date,Sanction Date,Sanction Amount ( ₹ ),Work Status,WORK,Elected/Nominated,RECOMMENDED AMOUNT   ( ₹ )
15722,Bihar,,DARBHANGA,,Works Completed.csv,15723,MISSING_OR_BLANK,WS/MP544/2025-2026/158281-Street lights,,DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA),Mr Gopal Jee Thakur,,,,,,,,,Normal/Others,bahadurpur prakhand antargat basatpur panchayat ke usmamath chowk hanuman mandir ke nikat sarvajanik sthal par mini high mast electric light ka adhisthapan karya,,17-Sep-25,495000,,,,,,,,,
15723,Rajasthan,,JALORE,,Works Completed.csv,15724,MISSING_OR_BLANK,"WS/MP18166/2025-2026/220794-Construction of roads, link roads, pathways or any other road with or without drainage system",,Sanchor(DISTRICT COLLECTOR Sanchor_IDA),LUMBARAM,,,,,,,,,Normal/Others,"Construction of Interlocking Block road at Batip Road to Ravana Rapjuto ka Vas, Village Korka GP Korka PS Raniwara Dist Jalore",,25-Mar-26,549784,,,,,,,,,
15724,Rajasthan,,JALORE,,Works Completed.csv,15725,MISSING_OR_BLANK,"WS/MP18166/2025-2026/220793-Construction of roads, link roads, pathways or any other road with or without drainage system",,Sanchor(DISTRICT COLLECTOR Sanchor_IDA),LUMBARAM,,,,,,,,,Normal/Others,"Construction of Interlocking Block road at Swaminarayan temple to Aam Chohata, Village Korka GP Korka PS Raniwara Dit Jalore",,25-Mar-26,549622,,,,,,,,,
15725,Punjab,,ANANDPUR SAHIB,,Works Completed.csv,15726,MISSING_OR_BLANK,WS/MP18311/2025-2026/176446-Fitting of Sitting RCC Benches in Public Places,,S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA),MALVINDER SINGH KANG,,,,,,,,,Normal/Others,Fitting of Sitting RCC Benches in Public Places at village Giga majra,,20-Nov-25,100000,,,,,,,,,
15727,Jammu And Kashmir,,UDHAMPUR,,Works Completed.csv,15728,MISSING_OR_BLANK,WS/MP600/2024-2025/159612-Installing hand pumps,,KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA),Jitendra Singh,,,,,,,,,Normal/Others,"New installation of hand pump at near the pyt. Ghar Dhalli, opposite govt. Primary school , Ward no. 1, Dinga Amb, Kathua",,05-Jan-26,358066,,,,,,,,,
15731,Tamil Nadu,,NILGIRIS(SC),,Works Completed.csv,15732,MISSING_OR_BLANK,WS/MP740/2025-2026/204001-Street lights,,ERODE(DISTRICT_COLLECTORE_ERODE_IDA),Andimuthu Raja,,,,,,,,,Normal/Others,Supply and Fixing of Automatic ON OFF 100 Watts 6 Nos LED Street Lights(6.00 mtr height) Near the Ongalvadi PHC at Hasanur Panchayat at Thalavadi Block,,17-Sep-25,181957,,,,,,,,,
15736,Mizoram,,MIZORAM (ST),,Works Completed.csv,15737,MISSING_OR_BLANK,WS/MP18138/2025-2026/224829-Construction of community centers and community halls,,SERCHHIP(Deputy Commissioner Serchhip),RICHARD VANLALHMANGAIHA,,,,,,,,,Normal/Others,Construction of MZP Office at E.Lungdar,,05-Feb-26,300000,,,,,,,,,
15743,Odisha,,KALAHANDI,,Works Completed.csv,15744,MISSING_OR_BLANK,WS/MP18144/2025-2026/175341-Construction of boundary walls of existing public and community buildings,,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,,,,,,,,,Normal/Others,"CONSTRUCTION OF GUARDWALL AT KUIKATA VILLAGE, G.P- TURLAKHAMAN, BLOCK-KESINGA.",,28-Oct-25,300000,,,,,,,,,
15744,Tamil Nadu,,NILGIRIS(SC),,Works Completed.csv,15745,MISSING_OR_BLANK,WS/MP740/2025-2026/204006-Street lights,,ERODE(DISTRICT_COLLECTORE_ERODE_IDA),Andimuthu Raja,,,,,,,,,Normal/Others,Supply and Fixing of Automatic ON OFF 100 Watts 6 Nos LED Street Lights (6.00 mtr height) Near the Gumtapuram PHC at Thalavadi Panchayat,,17-Sep-25,181957,,,,,,,,,
15748,Chhattisgarh,,JANJGIR CHAMPA(SC),,Works Completed.csv,15749,MISSING_OR_BLANK,"WS/MP18278/2025-2026/221477-Construction of roads, link roads, pathways or any other road with or without drainage system",,Sarangarh-Bilaigarh(Collector SB_IDA),KAMLESH JANGDE,,,,,,,,,Normal/Others,GRAM-RIKOTAR ME C.C.RODE (DEVA GHAR SE MAHENDRA GHAR KI ORE ),,09-Feb-26,500000,,,,,,,,,
15749,Andhra Pradesh,,SRIKAKULAM,,Works Completed.csv,15750,MISSING_OR_BLANK,WS/MP522/2025-2026/196391-Improvement of electricity distribution infrastructure,,SRIKAKULAM(District Collector Srikakulam_IDA),Kinjarapu Ram Mohan Naidu,,,,,,,,,Normal/Others,Shifting of Electrical Poles and Lines in IJ Nagar Colony in Amadalavalasa Municipality,,03-Oct-25,615333,,,,,,,,,
15752,Andhra Pradesh,,SRIKAKULAM,,Works Completed.csv,15753,MISSING_OR_BLANK,WS/MP522/2025-2026/196382-Improvement of electricity distribution infrastructure,,SRIKAKULAM(District Collector Srikakulam_IDA),Kinjarapu Ram Mohan Naidu,,,,,,,,,Normal/Others,Providing Electrical Poles and Line in Reddipeta (1.60 lakh) and in Muslim Colony (1.40 lakh) in 11th Ward of Amadalavalasa Municipality,,17-Sep-25,293076,,,,,,,,,
15756,Andhra Pradesh,,SRIKAKULAM,,Works Completed.csv,15757,MISSING_OR_BLANK,WS/MP522/2025-2026/196380-Improvement of electricity distribution infrastructure,,SRIKAKULAM(District Collector Srikakulam_IDA),Kinjarapu Ram Mohan Naidu,,,,,,,,,Normal/Others,Providing Electrical Poles and Line in 5th Ward of Amadalavalasa Municipality,,03-Oct-25,409968,,,,,,,,,
15758,Andhra Pradesh,,SRIKAKULAM,,Works Completed.csv,15759,MISSING_OR_BLANK,WS/MP522/2025-2026/196362-Improvement of electricity distribution infrastructure,,SRIKAKULAM(District Collector Srikakulam_IDA),Kinjarapu Ram Mohan Naidu,,,,,,,,,Normal/Others,Providing Electrical Poles and Line in Ayyavaripeta GP Limits in Burja mandal,,16-Oct-25,362062,,,,,,,,,
15759,Andhra Pradesh,,SRIKAKULAM,,Works Completed.csv,15760,MISSING_OR_BLANK,WS/MP522/2025-2026/196363-Improvement of electricity distribution infrastructure,,SRIKAKULAM(District Collector Srikakulam_IDA),Kinjarapu Ram Mohan Naidu,,,,,,,,,Normal/Others,Providing Electrical Poles and Line in P.L.Devipeta GP Limits of Burja mandal,,11-Nov-25,453385,,,,,,,,,
15761,Andhra Pradesh,,SRIKAKULAM,,Works Completed.csv,15762,MISSING_OR_BLANK,WS/MP522/2025-2026/196378-Improvement of electricity distribution infrastructure,,SRIKAKULAM(District Collector Srikakulam_IDA),Kinjarapu Ram Mohan Naidu,,,,,,,,,Normal/Others,Providing Electrical Poles and line in Kanugulavalasa GP Limits of Amadalavalasa mandal,,11-Nov-25,780000,,,,,,,,,
15764,Andhra Pradesh,,SRIKAKULAM,,Works Completed.csv,15765,MISSING_OR_BLANK,WS/MP522/2025-2026/196376-Improvement of electricity distribution infrastructure,,SRIKAKULAM(District Collector Srikakulam_IDA),Kinjarapu Ram Mohan Naidu,,,,,,,,,Normal/Others,"Providing Electrical Poles and Line in Lakkupuram GP Limits, Burja mandal",,16-Oct-25,546258,,,,,,,,,
15766,Rajasthan,,JHUNJHUNU,,Works Completed.csv,15767,MISSING_OR_BLANK,"WS/MP18167/2025-2026/186920-Construction of roads, link roads, pathways or any other road with or without drainage system",,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,,,,,,,,,Normal/Others,Interlock road construction work towards cremation ground in village Netrampura,,13-Feb-26,499105,,,,,,,,,
15773,Tamil Nadu,,NILGIRIS(SC),,Works Completed.csv,15774,MISSING_OR_BLANK,WS/MP740/2025-2026/204007-Street lights,,ERODE(DISTRICT_COLLECTORE_ERODE_IDA),Andimuthu Raja,,,,,,,,,Normal/Others,Supply and Fixing of Automatic ON OFF 100 Watts 6 Nos LED Street Lights (6.00 mtr height) Near the Thalavadi Government Hospital at Thalavadi  Panchayat,,17-Sep-25,181957,,,,,,,,,
15776,Tamil Nadu,,NILGIRIS(SC),,Works Completed.csv,15777,MISSING_OR_BLANK,WS/MP740/2025-2026/160534-Construction of bus-sheds or bus-stops,,ERODE(DISTRICT_COLLECTORE_ERODE_IDA),Andimuthu Raja,,,,,,,,,Normal/Others,Construction of Passenger Shelter at Osatti H/O Assanur Panchayat,,17-Sep-25,496530,,,,,,,,,
15778,Sikkim,,SIKKIM,,Works Completed.csv,15779,MISSING_OR_BLANK,"WS/MP013/2025-2026/225121-Purchase of IT systems, including hardware and software for educational purposes",,Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA),Indra Hang Subba,,,,,,,,,Normal/Others,supply and installation of pc system and other electronic devices and furniture at various schools in Gangtok district,,17-Sep-25,2500000,,,,,,,,,
15779,Sikkim,,SIKKIM,,Works Completed.csv,15780,MISSING_OR_BLANK,"WS/MP013/2025-2026/225599-Purchase of IT systems, including hardware and software for educational purposes",,Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA),Indra Hang Subba,,,,,,,,,Normal/Others,Supply and installation of PC system and other electronic devices and furniture at various schools of Sikkim,,17-Sep-25,2500000,,,,,,,,,
15788,Andhra Pradesh,,SRIKAKULAM,,Works Completed.csv,15789,MISSING_OR_BLANK,WS/MP522/2025-2026/196389-Improvement of electricity distribution infrastructure,,SRIKAKULAM(District Collector Srikakulam_IDA),Kinjarapu Ram Mohan Naidu,,,,,,,,,Normal/Others,"Providing Electrical Poles and line in SC Street (1.65 lakhs), at KGBV School, Amadalavalasa (0.60 lakhs), Parvatheeswarunipeta in Amadalavalasa (0.25 lakh) and in Laxminagar, Amadalavalasa (0.55 lakh) in Amadalavalasa Municipality",,24-Feb-26,248882,,,,,,,,,
15789,Andhra Pradesh,,SRIKAKULAM,,Works Completed.csv,15790,MISSING_OR_BLANK,WS/MP522/2025-2026/196384-Improvement of electricity distribution infrastructure,,SRIKAKULAM(District Collector Srikakulam_IDA),Kinjarapu Ram Mohan Naidu,,,,,,,,,Normal/Others,Providing Electrical Poles and Lines in 18th Ward (2.30 lakh) and in Pentayya Quarters (2.10 lakh) of Amadalavalasa Municipality,,24-Feb-26,436090,,,,,,,,,
15790,Andhra Pradesh,,SRIKAKULAM,,Works Completed.csv,15791,MISSING_OR_BLANK,WS/MP522/2025-2026/196361-Improvement of electricity distribution infrastructure,,SRIKAKULAM(District Collector Srikakulam_IDA),Kinjarapu Ram Mohan Naidu,,,,,,,,,Normal/Others,"Providing Electrical Poles and Line in Singuru GP Limits, Ponduru mandal",,18-Mar-26,695615,,,,,,,,,
15794,Andhra Pradesh,,SRIKAKULAM,,Works Completed.csv,15795,MISSING_OR_BLANK,WS/MP522/2025-2026/196374-Improvement of electricity distribution infrastructure,,SRIKAKULAM(District Collector Srikakulam_IDA),Kinjarapu Ram Mohan Naidu,,,,,,,,,Normal/Others,Providing Electrical Poles and Line in Labham GP Limits (3.25 lakh) an Latchayyapeta GP Limits (1.55 lakh) in Burja mandal,,24-Feb-26,476221,,,,,,,,,
15805,Rajasthan,,PALI,,Works Completed.csv,15806,MISSING_OR_BLANK,WS/MP389/2025-2026/213687-Purchase of furniture and fixtures for educational purposes,,PALI(DISTRICT COLLECTOR PALI_IDA),Shri PP Chaudhary,,,,,,,,,Normal/Others,"TIN SHED NIRMAN KARYA, RAJKIYA UCHH MADHYAMIK VIDHYALAY, BHAGWANPURA, GP ITENDRA CHARNAN, PS RANI",,23-Sep-25,447923,,,,,,,,,
15807,Uttar Pradesh,,BAREILLY,,Works Completed.csv,15808,MISSING_OR_BLANK,"WS/MP18377/2025-2026/212920-Construction of roads, link roads, pathways or any other road with or without drainage system",,BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA),CHHATRA PAL SINGH GANGWAR,,,,,,,,,Normal/Others,CANTT GARUN DWAR SE HARUNGLA KI TARAF JANE WALE RASTE KI TARAF MITTI KHADANJA,,04-Nov-25,957997,,,,,,,,,
15809,Punjab,,SANGRUR,,Works Completed.csv,15810,MISSING_OR_BLANK,WS/MP18314/2025-2026/230891-Purchase of mobile water tankers,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),GURMEET SINGH MEET HAYER,,,,,,,,,Normal/Others,Water tanker fogging machines and gensets  for flood affected Village to 100 in District Amritsar,,18-Sep-25,214500,,,,,,,,,
15810,Punjab,,SANGRUR,,Works Completed.csv,15811,MISSING_OR_BLANK,WS/MP18314/2025-2026/230892-Purchase of mobile water tankers,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),GURMEET SINGH MEET HAYER,,,,,,,,,Normal/Others,Water tanker fogging machines and gensets  for flood affected Village to 100 in District Amritsar,,18-Sep-25,214500,,,,,,,,,
15811,Punjab,,SANGRUR,,Works Completed.csv,15812,MISSING_OR_BLANK,WS/MP18314/2025-2026/230896-Purchase of mobile water tankers,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),GURMEET SINGH MEET HAYER,,,,,,,,,Normal/Others,Water tanker fogging machines and gensets  for flood affected Village to 100 in District Amritsar,,18-Sep-25,214500,,,,,,,,,
15812,Punjab,,SANGRUR,,Works Completed.csv,15813,MISSING_OR_BLANK,WS/MP18314/2025-2026/230895-Purchase of mobile water tankers,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),GURMEET SINGH MEET HAYER,,,,,,,,,Normal/Others,Water tanker fogging machines and gensets  for flood affected Village to 100 in District Amritsar,,18-Sep-25,214500,,,,,,,,,
15816,Gujarat,,KHEDA,,Works Completed.csv,15817,MISSING_OR_BLANK,"WS/	 MP005/2025-2026/175234-Construction of roads, link roads, pathways or any other road with or without drainage system",,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,,,,,,,,,Normal/Others,Construction Of Paver Block Work at behind Sharad Shah High School,,18-Sep-25,300000,,,,,,,,,
15823,Assam,,JORHAT,,Works Completed.csv,15824,MISSING_OR_BLANK,WS/MP18024/2025-2026/206722-Construction of community centers and community halls,,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,,,,,,,,,Normal/Others,"Construction of Nagahat Rajahuwa Bhawan, Sonali GP",,21-Jan-26,199806,,,,,,,,,
15829,Tamil Nadu,,KANCHEEPURAM(SC),,Works Completed.csv,15830,MISSING_OR_BLANK,WS/MP743/2025-2026/142806-Construction of buildings for community cultural activities,,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,,,,,,,,,Normal/Others,"Construction of Drama Stage at GWHSS, Erumbedu.",,24-Sep-25,899711,,,,,,,,,
15830,Punjab,,FARIDKOT(SC),,Works Completed.csv,15831,MISSING_OR_BLANK,WS/MP18152/2025-2026/176299-Fitting of Sitting RCC Benches in Public Places,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Fitting of Sitting RCC Benches,,09-Dec-25,150000,,,,,,,,,
15831,Punjab,,SANGRUR,,Works Completed.csv,15832,MISSING_OR_BLANK,WS/MP18314/2025-2026/230894-Purchase of mobile water tankers,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),GURMEET SINGH MEET HAYER,,,,,,,,,Normal/Others,Water tanker fogging machines and gensets  for flood affected Village to 100 in District Amritsar,,18-Sep-25,214500,,,,,,,,,
15832,Punjab,,SANGRUR,,Works Completed.csv,15833,MISSING_OR_BLANK,WS/MP18314/2025-2026/230893-Purchase of mobile water tankers,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),GURMEET SINGH MEET HAYER,,,,,,,,,Normal/Others,Water tanker fogging machines and gensets  for flood affected Village to 100 in District Amritsar,,18-Sep-25,214500,,,,,,,,,
15833,Punjab,,SANGRUR,,Works Completed.csv,15834,MISSING_OR_BLANK,WS/MP18314/2025-2026/230900-Purchase of mobile water tankers,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),GURMEET SINGH MEET HAYER,,,,,,,,,Normal/Others,Water tanker fogging machines and gensets  for flood affected Village to 100 in District Amritsar,,18-Sep-25,214500,,,,,,,,,
15835,Tamil Nadu,,MAYILADUTHURAI,,Works Completed.csv,15836,MISSING_OR_BLANK,WS/MP18179/2025-2026/168580-Lighting of public spaces,,Mayiladuthurai(District Collector Mayiladuthurai_IDA),SUDHA R,,,,,,,,,Normal/Others,Installation of High mass Light at Boothanoor in Eduthukatti panchhayat,,18-Sep-25,700000,,,,,,,,,
15836,Punjab,,SANGRUR,,Works Completed.csv,15837,MISSING_OR_BLANK,WS/MP18314/2025-2026/230899-Purchase of mobile water tankers,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),GURMEET SINGH MEET HAYER,,,,,,,,,Normal/Others,Water tanker fogging machines and gensets  for flood affected Village to 100 in District Amritsar,,18-Sep-25,214500,,,,,,,,,
15837,Punjab,,SANGRUR,,Works Completed.csv,15838,MISSING_OR_BLANK,WS/MP18314/2025-2026/230898-Purchase of mobile water tankers,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),GURMEET SINGH MEET HAYER,,,,,,,,,Normal/Others,Water tanker fogging machines and gensets  for flood affected Village to 100 in District Amritsar,,18-Sep-25,214500,,,,,,,,,
15838,Punjab,,SANGRUR,,Works Completed.csv,15839,MISSING_OR_BLANK,WS/MP18314/2025-2026/230897-Purchase of mobile water tankers,,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),GURMEET SINGH MEET HAYER,,,,,,,,,Normal/Others,Water tanker fogging machines and gensets  for flood affected Village to 100 in District Amritsar,,18-Sep-25,214500,,,,,,,,,
15839,Bihar,,MADHEPURA,,Works Completed.csv,15840,MISSING_OR_BLANK,WS/MP558/2025-2026/215865-Street lights,,SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA),Dinesh Chandra Yadav,,,,,,,,,Normal/Others,Mahishi Prakhand antargat Arapatti Panchayat ke graam Murli Ward No-5 Bajrangwali Mandir ke Prangan mey High Mast Light ka Adhisthapan.,,23-Sep-25,697000,,,,,,,,,
15840,Punjab,,FARIDKOT(SC),,Works Completed.csv,15841,MISSING_OR_BLANK,WS/MP18152/2024-2025/176308-Street lights,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Installation of Street Lights in Gram Panchayat Kothe Sarawan,,09-Dec-25,150000,,,,,,,,,
15855,Tamil Nadu,,TIRUVANNAMALAI,,Works Completed.csv,15856,MISSING_OR_BLANK,WS/MP508/2025-2026/201462-Lighting of public spaces,,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),CN Annadurai,,,,,,,,,Normal/Others,Providing High mast light at Ambedkar Statue near at in Aniyalai panchayat,,02-Jan-26,435000,,,,,,,,,
15856,Telangana,,NIZAMABAD,,Works Completed.csv,15857,MISSING_OR_BLANK,WS/MP761/2025-2026/171292-Construction of community centers and community halls,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,"Construction of community hall in BC Wada, Badguna (V)",,18-Sep-25,400000,,,,,,,,,
15862,Gujarat,,KHEDA,,Works Completed.csv,15863,MISSING_OR_BLANK,"WS/	 MP005/2025-2026/196992-Construction of roads, link roads, pathways or any other road with or without drainage system",,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,,,,,,,,,Normal/Others,Construction of Paver Block Work at Gadva Gothaj asphalt Road towards Balabhai Raojibhai House,,12-Feb-26,98596,,,,,,,,,
15865,Gujarat,,KHEDA,,Works Completed.csv,15866,MISSING_OR_BLANK,"WS/	 MP005/2025-2026/196991-Construction of roads, link roads, pathways or any other road with or without drainage system",,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,,,,,,,,,Normal/Others,Construction of Paver Block Work at Ambavadi Vistar Sureshbhai Bhaijibhai Faliya Area,,12-Feb-26,98596,,,,,,,,,
15866,Telangana,,NIZAMABAD,,Works Completed.csv,15867,MISSING_OR_BLANK,WS/MP761/2025-2026/171290-Construction of community centers and community halls,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,"Construction of Youth Building, Nikalpur (V), Donkeshwar(M)",,18-Sep-25,400000,,,,,,,,,
15868,Bihar,,MADHEPURA,,Works Completed.csv,15869,MISSING_OR_BLANK,WS/MP558/2025-2026/208226-Street lights,,SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA),Dinesh Chandra Yadav,,,,,,,,,Normal/Others,Banma Itahari Prakhand antargat Panchayat Maharas ke Khurasan mey Subhash Yadav ke ghar ke bagal mey High Mast Light ka Adhisthapan.,,27-Sep-25,697000,,,,,,,,,
15870,Uttar Pradesh,,MATHURA,,Works Completed.csv,15871,MISSING_OR_BLANK,"WS/MP819/2025-2026/219327-Construction of roads, link roads, pathways or any other road with or without drainage system",,MATHURA(DISTRICT MAGISTRAE MATHURA_IDA),Smt Hema Malini,,,,,,,,,Normal/Others,Construction of CC Road in Village Rethaura block nandgaon ho KD Pandit toward temple of Chandrawali Mata Mandir,,20-Mar-26,1674937,,,,,,,,,
15871,Uttar Pradesh,,MATHURA,,Works Completed.csv,15872,MISSING_OR_BLANK,"WS/MP819/2025-2026/219349-Construction of roads, link roads, pathways or any other road with or without drainage system",,MATHURA(DISTRICT MAGISTRAE MATHURA_IDA),Smt Hema Malini,,,,,,,,,Normal/Others,construction of cc road village gonga block mant from ho dalveer to so munna,,20-Mar-26,869458,,,,,,,,,
15882,Chhattisgarh,,RAIPUR,,Works Completed.csv,15883,MISSING_OR_BLANK,"WS/MP18336/2025-2026/226324-Construction of roads, link roads, pathways or any other road with or without drainage system",,Balodabazar-Bhatapara(Collector Baloda Bazar_IDA),BRIJMOHAN AGRAWAL,,,,,,,,,Normal/Others,"CC ROAD NIRMAN - BHUNESHWAR SAHU KE GHAR PASS SE PUNAU NISHAD GHAR TAK, GRAM PANCHAYAT SAKARI, DIST BALODABAZAR",,15-May-26,998005,,,,,,,,,
15884,Chhattisgarh,,RAIPUR,,Works Completed.csv,15885,MISSING_OR_BLANK,WS/MP18336/2025-2026/226323-Development of playfields and sports grounds,,Balodabazar-Bhatapara(Collector Baloda Bazar_IDA),BRIJMOHAN AGRAWAL,,,,,,,,,Normal/Others,"KHEL MAIDAN SAMTALIKARAN, GRAM PANCHAYAT NAWAPARA, SUB DIST SUHELA, DIST BALODABAZAR",,15-May-26,999000,,,,,,,,,
15885,Bihar,,MADHEPURA,,Works Completed.csv,15886,MISSING_OR_BLANK,WS/MP558/2025-2026/208231-Street lights,,SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA),Dinesh Chandra Yadav,,,,,,,,,Normal/Others,Mahishi Prakhand antargat Panchayat Virgaon mey Virgaon Bishahra sthaan ke bagal mey High Mast Light ka Adhisthapan.,,27-Sep-25,697000,,,,,,,,,
15886,Chhattisgarh,,RAIPUR,,Works Completed.csv,15887,MISSING_OR_BLANK,"WS/MP18336/2025-2026/226322-Construction of roads, link roads, pathways or any other road with or without drainage system",,Balodabazar-Bhatapara(Collector Baloda Bazar_IDA),BRIJMOHAN AGRAWAL,,,,,,,,,Normal/Others,"CC ROAD NIRMAN - KARYSHALA BHAWAN SE BELTA TALAB TAK, GRAM PANCHAYAT BITKULI, SUB BLOCK SUHELA, DIST BALODABAZAR",,15-May-26,1000000,,,,,,,,,
15888,Rajasthan,,JALORE,,Works Completed.csv,15889,MISSING_OR_BLANK,"WS/MP18166/2025-2026/220766-Construction of roads, link roads, pathways or any other road with or without drainage system",,JALORE(DISTRICT COLLECTOR JALORE_IDA),LUMBARAM,,,,,,,,,Normal/Others,"Construction of Interlocking Block road nai Basti Rebariyo ka vas, Kora GP Kora, PS Bhinmal Dist Jalore",,13-Jan-26,999052,,,,,,,,,
15890,Gujarat,,KHEDA,,Works Completed.csv,15891,MISSING_OR_BLANK,"WS/	 MP005/2025-2026/203737-Construction of roads, link roads, pathways or any other road with or without drainage system",,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,,,,,,,,,Normal/Others,Construction of Paver Block at Bhugaliya Timba Kumariya Timba Area,,04-Oct-25,198363,,,,,,,,,
15906,Rajasthan,,ALWAR,,Works Completed.csv,15907,MISSING_OR_BLANK,WS/MP18159/2024-2025/171791-Development of playground,,Khairthal-Tijara(DISTRICT COLLECTOR KHAIRTHAL TIJARA_IDA),BHUPENDER YADAV,,,,,,,,,Normal/Others,"Construction work of tinshed on the Kho-Kho playing ground of Government Higher Secondary School, Kaluka, G.P. Peepli P.S. Mandawar District Khairthal-Tijara",,19-Sep-25,998652,,,,,,,,,
15928,Tamil Nadu,,PERAMBALUR,,Works Completed.csv,15929,MISSING_OR_BLANK,WS/MP18180/2025-2026/149582-Construction of toilet blocks,,PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA),ARUN NEHRU,,,,,,,,,Normal/Others,Construction of Single Unit Girls Toilet @ GHSS Kai.kalathur,,19-Sep-25,784655,,,,,,,,,
15932,Rajasthan,,JHUNJHUNU,,Works Completed.csv,15933,MISSING_OR_BLANK,"WS/MP18167/2025-2026/204695-Construction of roads, link roads, pathways or any other road with or without drainage system",,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,,,,,,,,,Normal/Others,Interlock road construction work from Jagdish house towards Gaurav Path,,16-Jan-26,197124,,,,,,,,,
15939,Gujarat,,ANAND,,Works Completed.csv,15940,MISSING_OR_BLANK,"WS/MP579/2025-2026/194620-Construction of roads, link roads, pathways or any other road with or without drainage system",,ANAND(District Collector ANAND_IDA),Mitesh Rameshbhai Bakabhai Patel,,,,,,,,,Normal/Others,Sachidanand Aashramma Madhavvadi ma block paving nu kam,,13-Nov-25,129962,,,,,,,,,
15941,Haryana,,HISAR,,Works Completed.csv,15942,MISSING_OR_BLANK,WS/MP18062/2025-2026/196339-Improvement of electricity distribution infrastructure,,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),JAI PARKASH,,,,,,,,,Normal/Others,"supply of new electric connection in dhani of sh satish son hawa singh saharan, 8683981824",,30-Dec-25,54997,,,,,,,,,
15942,Haryana,,HISAR,,Works Completed.csv,15943,MISSING_OR_BLANK,WS/MP18062/2025-2026/191291-Improvement of electricity distribution infrastructure,,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),JAI PARKASH,,,,,,,,,Normal/Others,New electric connection in dhani of Satpal son Bhale singh of village Mallapur,,31-Oct-25,96500,,,,,,,,,
15943,Haryana,,HISAR,,Works Completed.csv,15944,MISSING_OR_BLANK,WS/MP18062/2025-2026/196315-Improvement of electricity distribution infrastructure,,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),JAI PARKASH,,,,,,,,,Normal/Others,supply of new electric connection in dhani of sh sidhant son Dharambir son Surat singh village Kirori App no H61-624-80,,26-Dec-25,270000,,,,,,,,,
